OBJECTID,FMR_0BDR,FMR_1BDR,FMR_2BDR,FMR_3BDR,FMR_4BDR,FMR_AREANAME,FMR_CODE,FMR_4PLUSBDR,Shape__Area,Shape__Length
1203,562,576,660,952,1159,"Tattnall County, GA",NCNTY13267N13267,1159,1765819249.22461,242033.770478929
1204,496,499,660,827,1035,"Telfair County, GA",NCNTY13271N13271,1035,1601275802.0293,235412.883897446
1205,593,611,762,993,1109,"Thomas County, GA",NCNTY13275N13275,1109,1947114465.45313,194815.439285647
1206,518,521,660,827,947,"Tift County, GA",NCNTY13277N13277,947,959697488.421875,138870.250685891
1207,578,581,729,982,985,"White County, GA",NCNTY13311N13311,985,929018389.179688,148766.61102524
1208,562,576,660,889,892,"Johnson County, GA",NCNTY13167N13167,892,1124774277.11328,193477.81130625
1209,521,524,660,897,947,"Glascock County, GA",NCNTY13125N13125,947,536073312.996094,114177.962365656
1210,523,526,660,858,1098,"Wilkinson County, GA",NCNTY13319N13319,1098,1661584376.60156,202509.937352344
1211,579,612,810,1015,1095,"Power County, ID",NCNTY16077N16077,1095,6920652578.67578,493861.308170328
1212,501,550,701,957,1170,"Shoshone County, ID",NCNTY16079N16079,1170,14862654836.2031,687842.009984961
1213,513,546,722,930,976,"Montgomery County, IN",NCNTY18107N18107,976,2236263981.5625,189923.34701723
1214,479,575,689,914,1114,"Noble County, IN",NCNTY18113N18113,1114,1923005028.03125,179752.04028278
1215,479,537,688,932,1140,"Orange County, IN",NCNTY18117N18117,1140,1730839474.60156,166806.568620332
1216,489,531,703,881,1037,"Parke County, IN",NCNTY18121N18121,1037,1975417539.52734,200099.214559997
1217,479,520,688,915,930,"Perry County, IN",NCNTY18123N18123,930,1617176166.44531,230775.275597599
1218,490,554,672,951,955,"Republic County, KS",NCNTY20157N20157,955,3167608626.21094,226267.307303026
1219,473,581,697,892,961,"Greene County, IL",NCNTY17061N17061,961,2369428853.09766,233928.342826821
1220,473,536,697,873,1001,"Hamilton County, IL",NCNTY17065N17065,1001,1825026071.26953,172660.166462906
1221,481,502,664,839,933,"Fremont County, IA",NCNTY19071N19071,933,2333543970.80078,201126.670396333
1222,496,499,660,915,1035,"Wayne County, GA",NCNTY13305N13305,1035,2321006278.70898,259430.306315264
1223,527,530,665,833,1042,"Webster County, GA",NCNTY13307N13307,1042,760383710.019531,141976.372597538
1224,523,526,660,954,1035,"Wheeler County, GA",NCNTY13309N13309,1035,1087378513.45117,197926.082398246
1225,514,517,684,857,1072,"Wilkes County, GA",NCNTY13317N13317,1072,1782009861.46094,231674.741078785
1226,865,1018,1346,1686,1855,"Hawaii County, HI",NCNTY15001N15001,1855,11816839246.3359,622486.619000805
1227,463,503,647,811,1117,"Washington County, KY",NCNTY21229N21229,1117,1249959711.96484,204532.863448401
1228,459,558,700,880,946,"Jackson County, MN",NCNTY27063N27063,946,3562072353.04297,240443.6771012
1229,528,578,738,946,1150,"Jerome County, ID",NCNTY16053N16053,1150,2888248351.25,246305.382440738
1230,525,577,732,1058,1286,"Latah County, ID",NCNTY16057N16057,1286,5953587333.28906,347304.057572034
1231,479,564,746,935,1008,"Bureau County, IL",NCNTY17011N17011,1008,4024744592.29688,282481.476310567
1232,473,527,697,873,1100,"Carroll County, IL",NCNTY17015N17015,1100,2194676688.1875,215221.86011298
1233,504,589,697,966,1001,"Cass County, IL",NCNTY17017N17017,1001,1694515981.97266,240374.960931999
1234,984,1210,1531,2044,2492,"Kauai County, HI",NCNTY15007N15007,2492,1898095772.04688,332912.964181981
1235,620,636,728,1053,1279,"Madison County, ID",NCNTY16065N16065,1279,2352331397.75781,239718.44296042
1236,501,611,700,965,968,"Minidoka County, ID",NCNTY16067N16067,968,3678554147.03906,315358.775785399
1237,561,564,730,993,1025,"Jefferson County, IN",NCNTY18077N18077,1025,1549205564.40625,215377.428184819
1238,509,593,741,1021,1081,"Coles County, IL",NCNTY17029N17029,1081,2222971211.14063,202606.901377864
1239,545,548,697,901,942,"Franklin County, IL",NCNTY17055N17055,942,1802362236.23047,195646.685333003
1240,501,523,692,915,950,"Davis County, IA",NCNTY19051N19051,950,2280528041.07031,191472.983846744
1241,499,503,664,844,1061,"Decatur County, IA",NCNTY19053N19053,1061,2409280668.10156,196289.991081997
1242,481,502,664,960,1166,"Delaware County, IA",NCNTY19055N19055,1166,2757671289.03125,211702.491405341
1243,481,566,749,961,1179,"Des Moines County, IA",NCNTY19057N19057,1179,1951570810.21875,200184.204968381
1244,525,548,725,917,1034,"Dickinson County, IA",NCNTY19059N19059,1034,1981304203.49609,180677.622168424
1245,673,675,875,1096,1404,"Teton County, ID",NCNTY16081N16081,1404,2237769048.22656,233214.169416214
1246,491,568,751,1019,1261,"Twin Falls County, ID",NCNTY16083N16083,1261,9151516417.44531,505522.232874128
1247,553,585,774,1119,1272,"Valley County, ID",NCNTY16085N16085,1272,19182631829.375,744493.656172712
1248,501,529,700,998,1075,"Washington County, ID",NCNTY16087N16087,1075,7490684520.65625,407837.583425083
1249,557,560,712,988,1031,"Adams County, IL",NCNTY17001N17001,1031,3848810598.36719,251845.957926837
1250,479,555,688,920,1125,"Randolph County, IN",NCNTY18135N18135,1125,2012152494.55078,179658.670070452
1251,444,551,688,892,976,"Ripley County, IN",NCNTY18137N18137,976,1929468559.13672,179035.256201416
1252,481,502,664,871,951,"Greene County, IA",NCNTY19073N19073,951,2683892814.97656,207350.823309025
1253,524,567,707,911,959,"Christian County, IL",NCNTY17021N17021,959,3121235695.15625,257469.660043565
1254,462,524,688,891,930,"Wayne County, IN",NCNTY18177N18177,930,1779685745,176059.553720397
1255,481,533,692,970,987,"White County, IN",NCNTY18181N18181,987,2297669774.11719,224768.845246975
1256,481,502,664,877,947,"Adair County, IA",NCNTY19001N19001,947,2621684598.125,204895.811907817
1257,481,517,664,960,1163,"Adams County, IA",NCNTY19003N19003,1163,1938292350.48828,178013.917980402
1258,473,593,697,873,942,"Crawford County, IL",NCNTY17033N17033,942,1914703753.75391,210874.622095148
1259,481,580,664,845,922,"Calhoun County, IA",NCNTY19025N19025,922,2717782622.86719,220854.168580619
1260,499,502,664,865,898,"Carroll County, IA",NCNTY19027N19027,898,2679408048.94141,207094.854731395
1261,481,580,664,862,904,"Cass County, IA",NCNTY19029N19029,904,2597349854.54688,203927.393423309
1262,523,546,722,948,979,"Cedar County, IA",NCNTY19031N19031,979,2711505041.28906,208291.378891614
1263,478,562,744,960,1163,"Cerro Gordo County, IA",NCNTY19033N19033,1163,2793655284.95703,211351.876725952
1264,481,541,664,960,962,"Cherokee County, IA",NCNTY19035N19035,962,2772317079.96484,210604.660698592
1265,481,566,664,960,977,"Chickasaw County, IA",NCNTY19037N19037,977,2454324425.73047,198537.702952243
1266,538,562,743,951,1017,"Clarke County, IA",NCNTY19039N19039,1017,1966914986.81641,179058.017305643
1267,589,592,700,930,946,"Mecosta County, MI",NCNTY26107N26107,946,2825950050.09375,212776.910466952
1268,489,605,700,946,950,"Menominee County, MI",NCNTY26109N26109,950,5560552336.61328,453539.717500342
1269,516,609,739,926,999,"Missaukee County, MI",NCNTY26113N26113,999,2905971453.12109,216122.913039001
1270,489,529,700,977,987,"Montmorency County, MI",NCNTY26119N26119,987,2917238303.42578,217602.098999413
1271,531,542,717,919,969,"Newaygo County, MI",NCNTY26123N26123,969,4250522414.17188,266268.932347325
1272,489,529,700,943,946,"Oceana County, MI",NCNTY26127N26127,946,2701417844.42578,203221.429947765
1273,489,606,700,907,1078,"Ogemaw County, MI",NCNTY26129N26129,1078,2911671296.89063,215809.733710484
1274,511,541,715,901,1191,"Bingham County, ID",NCNTY16011N16011,1191,10343332472.9805,550674.940949358
1275,476,559,660,883,1159,"Toombs County, GA",NCNTY13279N13279,1159,1343462073.1875,189202.176607231
1276,590,594,723,981,1270,"Towns County, GA",NCNTY13281N13281,1270,664014765.296875,143052.109244853
1277,443,489,618,832,835,"Hickman County, KY",NCNTY21105N21105,835,1020923922.89844,155231.181233784
